map,DFS-G cost,DFS-G num of expanded nodes,UCS cost,UCS  num of expanded nodes,A* cost,A*  num of expanded nodes,W-A* (0.3) cost,W-A* (0.3) num of expanded nodes,W-A* (0.7) cost,W-A* (0.7) num of expanded nodes,W-A* (0.9) cost,W-A* (0.9) num of expanded nodes

4x4_1,137,10,1,1,1,1,1,1,1,1,1,1

4x4_2,117,7,11,5,11,5,11,5,11,3,11,2

4x4_3,14,3,14,5,14,5,14,5,14,4,14,3

4x4_4,130,8,3,2,3,2,3,2,3,2,3,2

4x4_5,1,1,1,1,1,1,1,1,1,1,1,1

4x4_6,20,6,3,3,3,2,3,3,3,2,3,2

4x4_7,11,2,11,3,11,3,11,3,11,3,11,2

4x4_8,4,2,4,3,4,3,4,3,4,2,4,2

4x4_9,37,8,11,3,11,2,11,2,11,2,11,2

4x4_10,3,2,3,2,3,2,3,2,3,2,3,2

10x10_1,149,13,33,40,33,39,33,40,33,28,41,11

10x10_2,102,19,28,16,28,12,28,14,28,10,28,7

10x10_3,40,11,20,8,20,6,20,6,20,6,20,6

10x10_4,55,9,31,14,31,12,31,12,31,12,55,9

10x10_5,103,26,16,13,16,10,16,10,16,8,16,5

10x10_6,111,22,19,21,19,15,19,19,19,10,40,11

10x10_7,79,21,41,32,41,22,41,27,41,17,41,18

10x10_8,41,10,25,12,25,10,25,10,25,8,25,5

10x10_9,157,28,43,30,43,24,43,25,43,22,43,11

10x10_10,184,20,32,25,32,23,32,24,32,15,52,13

50x50_1,100,23,60,98,60,85,60,93,60,66,68,18

50x50_2,753,134,85,132,85,107,85,120,85,92,90,23

50x50_3,710,118,150,469,150,370,150,417,150,231,160,39

50x50_4,666,116,46,49,46,31,46,43,46,19,50,14

50x50_5,742,137,45,39,45,29,45,32,45,16,45,8

50x50_6,195,34,27,11,27,8,27,10,27,7,27,6

50x50_7,651,141,170,607,170,505,170,556,170,419,207,44

50x50_8,219,42,58,89,58,72,58,81,58,56,80,16

50x50_9,660,116,25,12,25,10,25,11,25,10,25,7

50x50_10,85,18,76,98,76,73,76,88,76,50,83,15

200x200_1,2980,502,1074,32782,1074,28473,1074,31104,1074,19739,1226,10755
